,ts,Ax,Ay,Az
48109,481.099,0.78125,0.0,0.0
48110,481.109,0.78125,0.0,0.0
48111,481.119,0.78125,0.0,0.0
48112,481.129,0.78125,0.0,0.0
48113,481.139,1.5625,0.0,0.0
48114,481.149,0.78125,0.0,0.0
48115,481.159,1.5625,0.0,0.0
48116,481.169,0.78125,0.0,0.0
48117,481.179,0.78125,0.0,0.0
48118,481.189,1.5625,0.0,0.0
48119,481.199,0.78125,0.0,0.0
48120,481.209,0.78125,0.0,0.0
48121,481.219,0.78125,0.0,0.0
48122,481.229,0.78125,0.0,0.0
48123,481.239,0.78125,0.0,0.0
48124,481.249,1.5625,0.0,0.0
48125,481.259,1.5625,0.0,0.0
48126,481.269,0.78125,0.0,0.0
48127,481.279,0.78125,0.0,0.0
48128,481.289,1.5625,0.0,0.0
48129,481.299,1.5625,0.0,0.0
48130,481.309,1.5625,0.0,0.0
48131,481.319,0.78125,0.0,0.0
48132,481.329,0.78125,0.0,0.0
48133,481.339,0.78125,0.0,0.0
48134,481.349,1.5625,0.0,0.0
48135,481.359,1.5625,0.0,0.0
48136,481.369,0.78125,0.0,0.0
48137,481.379,1.5625,0.0,0.0
48138,481.389,0.78125,0.0,0.0
48139,481.399,0.78125,0.0,0.0
48140,481.409,0.78125,0.0,0.0
48141,481.419,1.5625,0.0,0.0
48142,481.429,0.78125,0.0,0.0
48143,481.439,1.5625,0.0,0.0
48144,481.449,0.78125,0.0,0.0
48145,481.459,0.78125,0.0,0.0
48146,481.469,1.5625,0.0,0.0
48147,481.479,1.5625,0.0,0.0
48148,481.489,0.78125,0.0,0.0
48149,481.499,1.5625,0.0,0.0
48150,481.509,1.5625,0.0,0.0
48151,481.519,0.78125,0.0,0.0
48152,481.529,0.78125,0.0,0.0
48153,481.539,0.78125,0.0,0.0
48154,481.549,1.5625,0.0,0.0
48155,481.559,1.5625,0.0,0.0
48156,481.569,0.78125,0.0,0.0
48157,481.579,1.5625,0.0,0.0
48158,481.589,1.5625,0.0,0.0
48159,481.599,0.78125,0.0,0.0
48160,481.609,0.78125,0.0,0.0
48161,481.619,0.78125,0.0,0.0
48162,481.629,0.78125,0.0,0.0
48163,481.639,1.5625,0.0,0.0
48164,481.649,0.78125,0.0,0.0
48165,481.659,0.78125,0.0,0.0
48166,481.669,0.78125,0.0,0.0
48167,481.679,0.78125,0.0,0.0
48168,481.689,1.5625,0.0,0.0
48169,481.699,0.78125,0.0,0.0
48170,481.709,1.5625,0.0,0.0
48171,481.719,0.78125,0.0,0.0
48172,481.729,0.78125,0.0,0.0
48173,481.739,1.5625,0.0,0.0
48174,481.749,1.5625,0.0,0.0
48175,481.759,0.78125,0.0,0.0
48176,481.769,1.5625,0.0,0.0
48177,481.779,0.78125,0.0,0.0
48178,481.789,0.78125,0.0,0.0
48179,481.799,0.78125,0.0,0.0
48180,481.809,0.78125,0.0,0.0
48181,481.819,0.78125,0.0,0.0
48182,481.829,0.78125,0.0,0.0
48183,481.839,1.5625,0.0,0.0
48184,481.849,0.78125,0.0,0.0
48185,481.859,0.78125,0.0,0.0
48186,481.869,1.5625,0.0,0.0
48187,481.879,0.78125,0.0,0.0
48188,481.889,1.5625,0.0,0.0
48189,481.899,0.78125,0.0,0.0
48190,481.909,0.78125,0.0,0.0
48191,481.919,0.78125,0.0,0.0
48192,481.929,0.78125,0.0,0.0
48193,481.939,1.5625,0.0,0.0
48194,481.949,1.5625,0.0,0.0
48195,481.959,0.78125,0.0,0.0
48196,481.969,1.5625,0.0,0.0
