,ts,Ax,Ay,Az
821,226114,2,-1,0
822,226124,2,0,0
823,226134,2,0,0
824,226144,2,0,0
825,226154,2,-1,0
826,226164,2,0,0
827,226174,2,0,0
828,226184,2,0,0
829,226194,2,-1,0
830,226204,2,0,0
831,226214,2,-1,0
832,226224,2,-1,0
833,226234,2,-1,0
834,226244,2,0,0
835,226254,2,-1,0
836,226264,2,-1,0
837,226274,2,0,0
838,226284,2,0,0
839,226294,2,0,0
840,226304,2,0,0
841,226314,2,0,0
842,226324,1,0,0
843,226334,2,0,0
844,226344,2,0,0
845,226354,2,0,0
846,226364,1,-1,0
847,226374,2,0,0
848,226384,2,0,0
849,226394,2,0,0
850,226404,2,0,0
851,226414,2,0,0
852,226424,2,1,0
853,226434,2,0,0
854,226444,1,0,0
855,226454,2,0,0
856,226464,2,0,0
857,226474,2,0,0
858,226484,2,0,0
859,226494,2,-1,0
860,226504,2,0,0
861,226514,2,0,0
862,226524,2,0,0
863,226534,2,0,0
864,226544,2,0,0
865,226554,2,-1,0
866,226564,2,0,0
867,226574,2,0,0
868,226584,2,0,0
869,226594,2,0,0
870,226604,2,0,0
871,226614,2,-1,0
872,226624,2,0,0
873,226634,2,-1,0
874,226644,2,0,0
875,226654,2,0,0
876,226664,2,0,0
877,226674,2,0,0
878,226684,2,0,0
879,226694,2,-1,0
880,226704,2,1,0
881,226714,2,-1,0
882,226724,2,0,0
883,226734,2,-1,0
884,226744,1,-1,0
885,226754,2,-1,0
886,226764,2,0,0
887,226774,2,0,0
888,226784,2,-1,0
889,226794,2,0,0
890,226804,2,0,0
891,226814,2,0,0
892,226824,2,0,0
893,226834,2,0,0
894,226844,2,0,0
895,226854,1,0,0
896,226864,2,0,0
897,226874,1,0,0
898,226884,1,0,0
899,226894,2,0,0
900,226904,2,0,0
901,226914,2,-1,0
902,226924,2,0,0
903,226934,2,0,0
904,226944,2,0,0
905,226954,2,0,0
906,226964,2,0,0
907,226974,2,-1,0
908,226984,2,0,0
909,226994,2,0,0
910,227004,2,0,0
911,227014,2,0,0
912,227024,1,0,0
913,227034,2,-1,0
914,227044,2,0,0
915,227054,2,-1,0
916,227064,2,0,0
917,227074,2,0,0
918,227084,2,0,0
919,227094,2,0,0
920,227104,2,0,0
921,227114,2,-1,0
922,227124,2,0,0
923,227134,2,0,0
924,227144,2,0,0
925,227154,2,0,0
926,227164,2,0,0
927,227174,2,-1,0
928,227184,2,0,0
929,227194,2,-1,0
930,227204,2,0,0
931,227214,2,0,0
932,227224,2,0,0
933,227234,2,0,0
934,227244,2,0,0
935,227254,2,0,0
936,227264,2,0,0
937,227274,1,0,0
938,227284,2,0,0
939,227294,2,0,0
940,227304,2,1,0
941,227314,2,-1,0
942,227324,2,-1,0
943,227334,2,0,0
944,227344,1,0,0
945,227354,2,0,0
946,227364,2,0,0
947,227374,1,0,0
948,227384,2,0,0
949,227394,2,-1,0
950,227404,2,0,0
951,227414,2,-1,0
952,227424,2,0,0
953,227434,2,-1,0
954,227444,2,-1,0
955,227454,1,0,0
956,227464,2,0,0
957,227474,2,0,0
958,227484,2,-1,0
959,227494,2,0,0
960,227504,1,1,0
961,227514,2,0,0
962,227524,2,0,0
963,227534,2,0,0
964,227544,2,0,0
965,227554,2,-1,0
966,227564,2,-1,0
967,227574,2,-1,0
968,227584,2,0,0
969,227594,1,0,0
970,227604,2,0,0
971,227614,2,0,0
972,227624,2,0,0
973,227634,2,-1,0
974,227644,2,1,0
975,227654,2,0,0
976,227664,1,0,0
977,227674,2,-1,0
978,227684,2,0,0
979,227694,2,-1,0
980,227704,2,0,0
981,227714,2,0,0
982,227724,2,1,0
983,227734,2,0,0
984,227744,2,0,0
985,227754,2,1,0
986,227764,2,0,0
987,227774,2,0,0
988,227784,1,0,0
989,227794,2,0,0
990,227804,2,0,0
991,227814,2,0,0
992,227824,2,-1,0
993,227834,2,-1,0
994,227844,1,0,0
995,227854,2,0,0
996,227864,2,0,0
997,227874,2,1,0
998,227884,2,0,0
999,227894,1,1,0
1000,227904,2,0,0
1001,227914,2,0,0
1002,227924,2,-1,0
1003,227934,2,0,0
1004,227944,2,0,0
1005,227954,2,0,0
1006,227964,2,-1,0
1007,227974,2,0,0
1008,227984,2,-1,0
1009,227994,2,1,0
1010,228004,2,-1,0
1011,228014,2,1,0
1012,228024,2,0,0
1013,228034,2,0,0
1014,228044,1,0,0
1015,228054,2,-1,0
1016,228064,2,0,0
1017,228074,2,-1,0
1018,228084,2,0,0
1019,228094,2,-1,0
1020,228104,2,0,0
1021,228114,2,-1,0
1022,228124,2,0,0
1023,228134,2,-1,0
1024,228144,2,0,0
1025,228154,2,0,0
1026,228164,1,0,0
1027,228174,2,-1,0
1028,228184,2,0,0
1029,228194,2,-1,0
1030,228204,2,-1,0
1031,228214,2,-1,0
1032,228224,2,0,0
1033,228234,2,0,0
1034,228244,2,0,0
1035,228254,2,0,0
1036,228264,2,-1,0
1037,228274,2,0,0
1038,228284,2,0,0
1039,228294,2,0,0
1040,228304,2,0,0
1041,228314,2,0,0
1042,228324,2,0,0
1043,228334,2,-1,0
1044,228344,2,-1,0
1045,228354,2,-1,0
1046,228364,1,1,0
1047,228374,2,0,0
1048,228384,2,1,0
1049,228394,2,0,0
1050,228404,2,1,0
1051,228414,2,0,0
1052,228424,2,0,0
1053,228434,2,0,0
1054,228444,2,0,0
1055,228454,2,0,0
1056,228464,2,0,0
1057,228474,2,-1,0
1058,228484,2,0,0
1059,228494,2,-1,0
1060,228504,2,1,0
1061,228514,2,0,0
1062,228524,2,1,0
1063,228534,2,1,0
1064,228544,2,0,0
1065,228554,2,-1,0
1066,228564,2,-1,0
1067,228574,2,0,0
1068,228584,2,0,0
1069,228594,2,-1,0
1070,228604,2,0,0
1071,228614,2,0,0
1072,228624,2,0,0
1073,228634,2,0,0
1074,228644,2,0,0
1075,228654,2,1,0
1076,228664,2,0,0
1077,228674,2,0,0
1078,228684,2,-1,0
1079,228694,2,-1,0
1080,228704,2,-2,0
1081,228714,2,0,0
1082,228724,2,-1,0
1083,228734,2,0,0
1084,228744,2,0,0
1085,228754,2,0,0
1086,228764,2,0,0
1087,228774,2,0,0
1088,228784,2,0,0
1089,228794,2,0,0
1090,228804,2,-1,0
1091,228814,1,0,0
1092,228824,2,-1,0
1093,228834,2,0,0
1094,228844,2,-2,0
1095,228854,2,-1,0
1096,228864,2,-1,0
1097,228874,1,0,0
1098,228884,2,1,0
1099,228894,2,0,0
1100,228904,2,0,0
1101,228914,1,0,0
1102,228924,1,0,0
1103,228934,1,0,0
1104,228944,2,-1,0
1105,228954,2,-1,0
1106,228964,2,-1,0
1107,228974,2,-1,0
1108,228984,2,0,0
1109,228994,1,0,0
1110,229004,2,0,0
1111,229014,2,0,0
1112,229024,2,1,0
1113,229034,2,1,0
1114,229044,2,0,0
1115,229054,2,-1,0
1116,229064,2,-1,0
1117,229074,2,0,0
1118,229084,2,-1,0
1119,229094,2,0,0
1120,229104,2,0,0
1121,229114,2,0,0
1122,229124,2,0,0
1123,229134,2,0,0
1124,229144,2,-1,0
1125,229154,2,0,0
1126,229164,2,0,0
1127,229174,2,0,0
1128,229184,2,-1,0
1129,229194,2,-1,0
1130,229204,2,-1,0
1131,229214,2,-1,0
1132,229224,2,-1,0
1133,229234,2,0,0
1134,229244,2,-1,0
1135,229254,2,0,0
1136,229264,2,0,0
1137,229274,2,0,0
1138,229284,2,-1,0
1139,229294,2,0,0
1140,229304,2,0,0
1141,229314,2,0,0
1142,229324,2,0,0
1143,229334,2,0,0
1144,229344,2,-1,0
1145,229354,2,0,0
1146,229364,2,-1,0
1147,229374,2,0,0
1148,229384,2,0,0
1149,229394,2,0,0
1150,229404,2,0,0
1151,229414,2,0,0
1152,229424,2,0,0
1153,229434,2,0,0
1154,229444,1,1,0
1155,229454,2,0,0
1156,229464,1,0,0
1157,229474,2,-1,0
1158,229484,2,0,0
1159,229494,2,-1,0
1160,229504,2,0,0
1161,229514,2,-1,0
1162,229524,1,0,0
1163,229534,2,0,0
1164,229544,2,0,0
1165,229554,2,0,0
1166,229564,2,0,0
1167,229574,2,0,0
1168,229584,2,0,0
1169,229594,2,0,0
1170,229604,2,0,0
1171,229614,2,0,0
1172,229624,2,-1,0
1173,229634,2,-1,0
1174,229644,2,-1,0
1175,229654,2,0,0
1176,229664,2,0,0
1177,229674,2,0,0
1178,229684,2,0,0
1179,229694,2,0,0
1180,229704,2,0,0
1181,229714,2,0,0
1182,229724,2,0,0
1183,229734,2,0,0
1184,229744,1,0,0
1185,229754,2,0,0
1186,229764,2,-1,0
1187,229774,2,0,0
1188,229784,2,-1,0
1189,229794,2,0,0
1190,229804,2,0,0
1191,229814,2,0,0
1192,229824,2,0,0
1193,229834,2,-1,0
1194,229844,2,0,0
1195,229854,2,-1,0
1196,229864,1,0,0
1197,229874,2,0,0
1198,229884,2,0,0
1199,229894,2,0,0
1200,229904,2,-1,0
1201,229914,2,-1,0
1202,229924,2,-1,0
1203,229934,2,0,0
1204,229944,2,-1,0
1205,229954,2,0,0
1206,229964,2,0,0
1207,229974,2,0,0
1208,229984,2,-1,0
1209,229994,2,0,0
1210,230004,1,0,0
1211,230014,2,0,0
1212,230024,2,0,0
1213,230034,2,0,0
1214,230044,2,-1,0
1215,230054,2,-1,0
1216,230064,2,-1,0
1217,230074,1,0,0
1218,230084,2,0,0
