,ts,error
470,3677861,12304
471,3677951,4112
472,3678311,12304
473,3678361,4112
474,3678491,12304
475,3678651,4112
476,3678741,12304
477,3678781,4112
478,3678871,12304
479,3678961,4112
480,3679051,12304
481,3680361,4112
482,3680451,12304
483,3680621,4112
484,3680711,12304
485,3681851,4112
486,3681941,12304
487,3682191,4112
488,3682281,12304
489,3682331,4112
490,3682421,12304
491,3682581,4112
492,3682671,12304
493,3683091,4112
494,3683271,12304
495,3684261,4112
496,3684411,12304
497,3684421,4112
498,3684511,12304
499,3684551,4112
500,3684741,12304
501,3684831,4112
502,3684921,12304
503,3684931,4112
504,3685021,12304
505,3685201,4112
506,3685291,12304
507,3685311,4112
508,3685551,12304
509,3685951,4112
510,3686741,12304
511,3687411,4112
512,3688751,12304
513,3688991,4112
514,3689081,12304
515,3689551,4112
516,3689731,12304
517,3690351,4112
518,3690531,12304
519,3690571,4112
520,3690761,12304
521,3690941,4112
522,3691101,12304
523,3691151,4112
524,3691241,12304
525,3691361,4112
526,3691451,12304
527,3691681,4112
528,3691771,12304
529,3691841,4112
530,3692431,12304
531,3692521,4112
532,3692691,12304
533,3692891,4112
534,3693021,12304
535,3693301,4112
536,3693451,12304
537,3693541,4112
538,3693771,12304
539,3693811,4112
540,3693901,12304
541,3693991,4112
542,3694101,12304
543,3694251,4112
544,3694811,12304
545,3694831,4112
546,3695261,12304
547,3695271,4112
548,3696191,12304
549,3696231,4112
550,3697331,12304
551,3697411,4112
552,3699711,12304
553,3700241,4112
554,3700331,12304
555,3700431,4112
556,3700541,12304
557,3700631,4112
558,3700721,12304
559,3700841,4112
560,3700961,12304
561,3701061,4112
562,3702051,12304
563,3702081,4112
564,3703051,12304
565,3703141,4112
566,3703671,12304
567,3703711,4112
568,3704541,12304
569,3704551,4112
570,3704891,12304
571,3704901,4112
572,3705231,12304
573,3705271,4112
574,3705431,12304
575,3705471,4112
576,3705671,12304
577,3705681,4112
578,3706011,12304
579,3706021,4112
580,3706131,12304
581,3706151,4112
582,3707561,12304
583,3707611,4112
584,3707831,12304
585,3707861,4112
586,3708661,12304
587,3708671,4112
588,3708911,12304
589,3708931,4112
590,3709761,12304
591,3710511,4112
592,3711601,12304
593,3711731,4112
594,3711821,12304
595,3712171,4112
596,3712661,12304
597,3712711,4112
598,3714451,12304
599,3714461,4112
600,3714711,12304
601,3714721,4112
602,3715961,12304
603,3716041,4112
604,3716611,12304
605,3717191,4112
