,ts,error
566,117.319,4096
567,117.599,12288
568,117.609,4096
569,117.799,12288
570,117.829,4096
571,117.999,12288
572,118.239,4096
573,118.419,12288
574,118.459,4096
575,118.549,12288
576,118.589,4096
577,118.679,12288
578,118.709,4096
579,119.269,12288
580,119.519,4096
581,119.609,12288
582,119.689,4096
583,119.779,12288
584,119.789,4096
585,119.959,12288
586,120.049,4096
587,120.199,12288
588,120.379,4096
589,120.509,12288
590,120.529,4096
591,120.679,12288
592,121.049,4096
593,121.499,12288
594,121.619,4096
595,121.919,12288
596,122.179,4096
597,122.319,4160
598,122.319,4288
599,122.359,4224
600,122.359,4096
601,122.609,4160
602,122.609,4288
603,122.659,4224
604,122.659,4096
605,122.959,12288
606,123.069,4096
607,123.239,12288
608,123.249,4096
609,123.679,12288
