,ts,Ax,Ay,Az
338,20766,0,-1,0
339,20776,0,-2,0
340,20786,0,-1,0
341,20796,-1,-2,0
342,20806,0,-1,0
343,20816,0,-1,0
344,20826,0,-1,0
345,20836,0,-1,0
346,20846,-1,-1,0
347,20856,0,-1,0
348,20866,-1,-1,0
349,20876,0,-1,0
350,20886,-1,0,0
351,20896,0,-2,0
352,20906,0,-1,0
353,20916,-1,-1,0
354,20926,0,-1,0
355,20936,-1,-1,0
356,20946,0,-1,0
357,20956,-1,0,0
358,20966,-1,-2,0
359,20976,-1,-1,0
360,20986,-1,-1,0
361,20996,0,-1,0
362,21006,0,-1,0
363,21016,0,-1,0
364,21026,0,-1,0
365,21036,0,-1,0
366,21046,-1,-2,0
367,21056,0,-1,0
368,21066,0,-1,0
369,21076,0,-1,0
370,21086,0,-1,0
371,21096,0,-1,0
372,21106,0,-1,0
373,21116,0,-2,0
374,21126,0,-1,0
375,21136,0,-1,0
376,21146,0,-1,0
377,21156,-1,-1,0
378,21166,0,-1,0
379,21176,-1,-1,0
380,21186,0,-2,0
381,21196,0,-1,0
382,21206,0,-2,0
383,21216,0,-1,0
384,21226,0,-2,0
385,21236,0,-1,0
386,21246,0,-1,0
387,21256,-1,-1,0
388,21266,-1,-1,0
389,21276,0,-1,0
390,21286,0,-1,0
391,21296,-1,-1,0
392,21306,0,0,0
393,21316,0,-2,0
394,21326,0,-1,0
395,21336,-1,-1,0
396,21346,0,-1,0
397,21356,0,-1,0
398,21366,0,-2,0
399,21376,0,-1,0
400,21386,-1,-2,0
401,21396,-1,-1,0
402,21406,-1,-2,0
403,21416,0,-1,0
404,21426,0,-1,0
405,21436,0,-1,0
406,21446,0,-1,0
407,21456,-1,-1,0
408,21466,0,-1,0
409,21476,0,-1,0
410,21486,0,-1,0
411,21496,0,-2,0
412,21506,0,-1,0
413,21516,-1,-1,0
414,21526,0,-1,0
415,21536,0,-1,0
416,21546,-1,-1,0
417,21556,0,-1,0
418,21566,0,-1,0
419,21576,-1,-1,0
420,21586,0,-1,0
421,21596,-1,-1,0
422,21606,0,-1,0
423,21616,0,-2,0
424,21626,0,-1,0
425,21636,0,-1,0
426,21646,0,-1,0
427,21656,0,-1,0
428,21666,-1,-1,0
429,21676,-1,-1,0
430,21686,0,-1,0
431,21696,0,-1,0
432,21706,0,-1,0
433,21716,0,-1,0
434,21726,-1,-1,0
435,21736,0,-1,0
436,21746,0,-1,0
437,21756,0,-1,0
438,21766,0,-1,0
439,21776,0,-1,0
440,21786,-1,-1,0
441,21796,-1,-1,0
442,21806,-1,-2,0
443,21816,-1,-1,0
444,21826,0,-1,0
445,21836,0,-1,0
446,21846,-1,-1,0
447,21856,-1,-2,0
448,21866,-1,-1,0
449,21876,0,-1,0
450,21886,0,-1,0
451,21896,-1,-1,0
452,21906,-1,-1,0
453,21916,-1,-1,0
454,21926,0,-1,0
455,21936,0,-1,0
456,21946,0,-1,0
457,21956,0,-1,0
458,21966,0,-2,0
459,21976,0,-1,0
460,21986,0,-1,0
461,21996,0,-1,0
462,22006,-1,-1,0
463,22016,0,-1,0
464,22026,0,-1,0
465,22036,0,-1,0
466,22046,0,-1,0
467,22056,0,-1,0
468,22066,-1,-1,0
469,22076,-1,-1,0
470,22086,0,-1,0
471,22096,0,-1,0
472,22106,-1,-1,0
473,22116,-1,-1,0
474,22126,-1,-1,0
475,22136,-1,-1,0
476,22146,0,-1,0
477,22156,0,-1,0
478,22166,0,-2,0
479,22176,-1,-1,0
480,22186,-1,-1,0
481,22196,-1,-1,0
482,22206,0,-1,0
483,22216,-1,-1,0
484,22226,0,-1,0
485,22236,0,-1,0
486,22246,0,-1,0
487,22256,-1,-1,0
488,22266,-1,-1,0
489,22276,0,-1,0
490,22286,0,-1,0
491,22296,0,-1,0
492,22306,0,-1,0
493,22316,0,-1,0
494,22326,0,-1,0
495,22336,-1,-1,0
496,22346,-1,-1,0
497,22356,-1,-1,0
498,22366,0,-1,0
499,22376,0,-1,0
500,22386,0,-1,0
501,22396,0,-1,0
502,22406,0,0,0
503,22416,0,-1,0
504,22426,-1,-1,0
