,ts,id,Gx,Gy,Gz,Ax,Ay,Az
184,66789,IMU0,175,0,-87,62,23,1077
185,66789,IMU1,17,10,0,-3,-43,1084
186,66799,IMU0,177,-1,-89,62,24,1082
187,66799,IMU1,17,10,-1,-3,-43,1083
188,66809,IMU0,175,-2,-87,62,24,1078
189,66809,IMU1,18,10,-1,-2,-43,1082
190,66819,IMU0,173,-1,-84,62,25,1077
191,66819,IMU1,17,10,-1,-1,-43,1081
192,66829,IMU0,174,0,-84,62,23,1079
193,66829,IMU1,17,10,-1,-2,-44,1081
194,66839,IMU0,174,2,-84,62,22,1077
195,66839,IMU1,18,9,0,-2,-44,1082
196,66849,IMU0,172,2,-90,61,24,1076
197,66849,IMU1,17,10,1,-2,-44,1082
198,66859,IMU0,174,3,-89,61,25,1076
199,66859,IMU1,17,10,0,-2,-43,1082
200,66869,IMU0,174,1,-87,61,24,1077
201,66869,IMU1,17,10,0,-1,-42,1083
202,66879,IMU0,175,1,-86,62,23,1078
203,66879,IMU1,18,10,0,-2,-42,1083
204,66889,IMU0,177,0,-87,63,23,1080
205,66889,IMU1,17,10,0,-2,-43,1082
206,66899,IMU0,177,-1,-85,61,24,1080
207,66899,IMU1,17,10,0,-3,-45,1082
208,66909,IMU0,176,-2,-86,62,24,1082
209,66909,IMU1,17,10,0,-2,-45,1080
210,66919,IMU0,171,0,-86,63,23,1077
211,66919,IMU1,17,10,0,-4,-45,1080
212,66929,IMU0,174,-2,-88,63,24,1077
213,66929,IMU1,17,10,0,-3,-45,1081
214,66939,IMU0,170,-3,-84,61,25,1077
215,66939,IMU1,17,10,0,-3,-44,1081
216,66949,IMU0,174,-4,-84,63,23,1075
217,66949,IMU1,18,10,0,-3,-44,1081
218,66959,IMU0,175,-4,-83,63,23,1073
219,66959,IMU1,18,10,0,-3,-43,1081
220,66969,IMU0,171,-4,-85,64,21,1071
221,66969,IMU1,17,10,0,-2,-44,1083
222,66979,IMU0,173,-3,-84,63,21,1072
223,66979,IMU1,17,10,0,-2,-44,1083
224,66989,IMU0,176,-2,-83,64,22,1072
225,66989,IMU1,17,9,0,-3,-44,1082
226,66999,IMU0,173,-3,-84,66,21,1070
227,66999,IMU1,18,9,0,-4,-43,1083
228,67009,IMU0,173,-2,-88,66,23,1074
229,67009,IMU1,17,9,0,-4,-44,1083
230,67019,IMU0,175,-1,-85,64,25,1078
231,67019,IMU1,17,9,0,-3,-44,1084
232,67029,IMU0,172,-4,-86,65,22,1074
233,67029,IMU1,18,9,0,-3,-43,1083
234,67039,IMU0,175,-4,-85,64,22,1074
235,67039,IMU1,18,10,0,-2,-44,1083
236,67049,IMU0,178,-2,-86,63,24,1076
237,67049,IMU1,17,10,0,-2,-44,1082
238,67059,IMU0,174,0,-86,62,24,1078
239,67059,IMU1,17,9,-1,-2,-45,1081
240,67069,IMU0,177,0,-86,59,26,1082
241,67069,IMU1,17,9,-1,-2,-44,1083
242,67079,IMU0,168,0,-83,59,24,1081
243,67079,IMU1,17,10,-1,-3,-44,1083
244,67089,IMU0,166,-1,-86,60,25,1080
245,67089,IMU1,17,10,0,-4,-44,1084
246,67099,IMU0,165,-2,-86,62,25,1077
247,67099,IMU1,17,10,0,-3,-44,1081
248,67109,IMU0,169,0,-87,65,23,1075
249,67109,IMU1,17,10,1,-3,-44,1082
250,67119,IMU0,171,0,-84,64,23,1075
251,67119,IMU1,17,11,0,-3,-44,1082
252,67129,IMU0,168,-4,-85,62,24,1077
253,67129,IMU1,17,10,0,-3,-44,1081
254,67139,IMU0,171,-3,-87,62,23,1077
255,67139,IMU1,17,9,0,-3,-45,1082
256,67149,IMU0,173,-2,-85,61,25,1077
257,67149,IMU1,17,9,0,-2,-44,1083
258,67159,IMU0,165,-1,-84,62,23,1075
259,67159,IMU1,17,9,-1,-4,-45,1084
260,67169,IMU0,168,-2,-85,61,22,1076
261,67169,IMU1,17,10,0,-3,-45,1083
262,67179,IMU0,167,-2,-84,62,24,1076
263,67179,IMU1,17,10,0,-2,-44,1081
